
=== fo-adapt-50k-step10000.seq.mri  [48x1024x2304]  capture_bpb=2.0725 ===
  band            var%  pos_r2    lag0    lag8   lag64  lag512
  0-7          54.7920  0.0390  0.3244  0.2108  0.0556  0.0173
  8-19         21.8250  0.0375  0.3644  0.0680  0.0031  0.0000
  20-49        20.4419  0.0469  0.4306  0.0352  0.0000  0.0000
  50-99         2.9032  0.0404  0.4577  0.0348  0.0000  0.0000
  100-255       0.0378  0.0370  0.4594  0.0206  0.0000  0.0000
  256-511       0.0000  0.0000  0.0098  0.0000  0.0000  0.0000
  512-1023      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  1024-2047     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

=== fo-adapt-50k-step20000.seq.mri  [48x1024x2304]  capture_bpb=2.0819 ===
  band            var%  pos_r2    lag0    lag8   lag64  lag512
  0-7          56.5401  0.0491  0.3222  0.2203  0.0569  0.0208
  8-19         19.8860  0.0521  0.3591  0.0670  0.0035  0.0000
  20-49        19.7463  0.0301  0.3994  0.0371  0.0000  0.0000
  50-99         3.7877  0.0372  0.5241  0.0281  0.0000  0.0000
  100-255       0.0399  0.0322  0.4665  0.0213  0.0000  0.0000
  256-511       0.0000  0.0000  0.0207  0.0000  0.0000  0.0000
  512-1023      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  1024-2047     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

=== fo-adapt-50k-step30000.seq.mri  [48x1024x2304]  capture_bpb=2.0186 ===
  band            var%  pos_r2    lag0    lag8   lag64  lag512
  0-7          53.9854  0.0566  0.3248  0.2233  0.0600  0.0235
  8-19         19.7719  0.0593  0.3538  0.0644  0.0027  0.0000
  20-49        21.2427  0.0270  0.3932  0.0368  0.0000  0.0000
  50-99         4.9504  0.0274  0.5160  0.0263  0.0000  0.0000
  100-255       0.0496  0.0313  0.4365  0.0241  0.0000  0.0000
  256-511       0.0000  0.0000  0.0265  0.0000  0.0000  0.0000
  512-1023      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  1024-2047     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

=== fo-adapt-50k-step40000.seq.mri  [48x1024x2304]  capture_bpb=2.0443 ===
  band            var%  pos_r2    lag0    lag8   lag64  lag512
  0-7          51.7976  0.0583  0.3304  0.2174  0.0597  0.0227
  8-19         20.3674  0.0552  0.3516  0.0662  0.0026  0.0000
  20-49        22.2101  0.0339  0.3935  0.0370  0.0000  0.0000
  50-99         5.5681  0.0248  0.5114  0.0263  0.0000  0.0000
  100-255       0.0568  0.0294  0.4169  0.0255  0.0000  0.0000
  256-511       0.0000  0.0000  0.0270  0.0000  0.0000  0.0000
  512-1023      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  1024-2047     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

=== fo-adapt-50k-step50000.seq.mri  [48x1024x2304]  capture_bpb=2.0186 ===
  band            var%  pos_r2    lag0    lag8   lag64  lag512
  0-7          51.2662  0.0574  0.3366  0.2184  0.0601  0.0228
  8-19         20.3861  0.0561  0.3559  0.0661  0.0028  0.0000
  20-49        22.4530  0.0346  0.3931  0.0367  0.0000  0.0000
  50-99         5.8334  0.0227  0.5037  0.0269  0.0000  0.0000
  100-255       0.0613  0.0305  0.4162  0.0254  0.0000  0.0000
  256-511       0.0000  0.0000  0.0293  0.0000  0.0000  0.0000
  512-1023      0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  1024-2047     0.0000  0.0000  0.0000  0.0000  0.0000  0.0000

  (negative lags = prospective/future bytes; a recorder points backward, a prediction organ points at the present edge — rulings bafe1c44, b7b915b7)
